customerID,creditCard,limit,sex,firstname,lastname,date_of_birth,email,phone_Number,jobID,education,addressID
1,370300414440483,5000,True,Lindsay,Brandon,1982-11-23,christopheraguilar@yahoo.com,001-355-393-3483x010,1,2,5
2,4921732519080,5000,False,Roy,Curtis,1966-09-16,terryandrew@king.net,(851)760-1676x9573,0,5,6
3,3505659490244941,5000,True,Michelle,Michael,1991-07-12,jose11@hotmail.com,(903)925-5942,7,3,3
4,4794086069693145662,1000,False,Jerry,Olivia,1986-08-04,antoniogardner@gmail.com,(982)858-3539x16044,2,5,7
5,6011626660667284,2000,True,Lisa,Kevin,1963-10-17,phillipswendy@hotmail.com,968.614.0783,1,3,5
6,2254721514994540,3000,False,Ronald,Joshua,1984-07-12,lisa83@boyd.com,097.612.1701,0,2,5
7,4601534549853,2000,True,Kristy,Thomas,1980-01-31,ronald46@yahoo.com,115-414-4092,7,3,2
8,343564946616381,3000,False,Randy,Gail,1963-06-16,hkerr@jenkins-schneider.com,207-696-2070x146,6,1,7
9,3511396036485835,4000,True,Tracey,Scott,1998-04-15,frostarthur@bowers.net,+1-133-960-1813,6,2,2
10,4192215999926916979,4000,True,Danielle,Stephanie,1963-08-03,ortegaemily@hotmail.com,(245)370-5269x2028,5,5,7
11,213152300584747,1000,False,Wayne,Allison,1971-05-05,jean68@torres-smith.org,991.564.4897x3784,1,4,2
12,30428640821606,2000,False,Robert,Samuel,1963-08-05,aguilarlinda@yahoo.com,+1-443-561-2098x9586,3,4,0
13,4298738658195492665,5000,False,Scott,Erin,1984-06-27,cgray@lawson-marshall.com,(245)885-0739x4730,6,3,3
14,375266673792648,1500,False,Michael,Susan,1987-04-27,fernandezjake@perry-edwards.com,+1-275-268-8219x2284,0,3,4
15,4849079345553037,1000,False,George,Ross,1986-05-04,gblackwell@white.com,198.645.9923,6,3,7
16,3573833159581037,2000,True,Lisa,Thomas,1978-09-21,cristinachristensen@hotmail.com,001-697-470-3247x689,1,4,0
17,6011340753967995,3000,True,Jessica,Michele,1969-03-18,james04@carey.com,001-334-669-6813x9172,4,1,7
18,3599634861981451,5000,False,Randy,Christopher,1992-08-28,rachel73@lane.com,732.292.2876x4753,4,4,1
19,4094050521032858,3000,False,Brandon,Michelle,1999-02-05,alvarezjames@hotmail.com,+1-875-582-6804x1605,5,3,1
20,4132410955057710,3000,True,Amy,Michael,1981-09-13,adam84@benton-gonzalez.com,290.355.7095,2,2,4
21,060450939065,3000,True,Elizabeth,Teresa,1970-08-08,burnsshelby@richards.com,001-579-126-7238,7,4,6
22,4444744259869489780,5000,True,Susan,Daniel,1975-08-24,sandy91@wells.info,001-726-562-0188x2671,6,5,1
23,3532606557471484,1500,False,Gregory,Nancy,1966-12-12,fjordan@osborne.com,(325)142-1604,0,5,1
24,3599753327353483,2000,True,Rebecca,James,1964-09-25,brooke49@yahoo.com,001-333-142-6773x0080,3,4,3
25,5597908472181835,4000,False,Eric,Robert,2003-04-09,dsmith@yahoo.com,9151770345,3,4,7
26,3583164125766736,1000,True,Donna,Rebecca,1980-04-08,pottskelly@gmail.com,830.810.8448x3738,1,1,7
27,675988348065,1000,True,Cynthia,Austin,1994-06-23,tiffanyvelazquez@hotmail.com,+1-803-423-1429x68002,5,3,7
28,4787221657271,1500,False,Charles,Kenneth,1999-11-10,michelle85@elliott-smith.biz,421.153.4558x121,6,3,0
29,5422187304721040,3000,False,Thomas,Kaitlin,1967-09-25,sgutierrez@gmail.com,+1-314-080-4333x46997,6,2,0
30,213172445678527,4000,True,Amy,Michael,1983-02-06,yperry@hotmail.com,(703)907-2445x65292,7,4,1
31,3521423368500912,4000,False,Michael,Ashley,1987-06-28,banksleslie@gmail.com,439.735.8197,5,1,6
32,30302129114314,5000,True,Megan,Megan,1972-07-21,tburgess@gregory-davis.net,001-424-428-1194x30252,4,1,0
33,180086041649774,3000,False,Joshua,Jennifer,1963-06-07,ericksondavid@yahoo.com,360.570.2228x08128,2,1,3
34,3520505359802801,3000,False,Brian,Eric,1992-06-01,nicholaskline@hotmail.com,9144241539,0,3,0
35,6528322094631320,4000,True,Amanda,Patrick,1985-04-07,emily13@hotmail.com,001-097-438-6771x829,0,4,4
36,4820549324445288193,2000,False,Arthur,Robert,1984-03-26,autumn38@werner.com,332.398.1017x52681,3,1,4
37,676119036082,3000,False,John,Charles,1972-05-30,kirkleah@turner.org,(347)736-6947x37982,0,1,5
38,5296204125506113,2000,True,Kimberly,Patricia,1993-09-04,dbrown@cooper-owens.net,(834)637-9359x2279,3,3,7
39,30287770367057,3000,True,Linda,Timothy,1966-03-09,adam30@sosa.biz,9980585564,1,5,7
40,3533955875770914,1500,False,Dillon,Michael,2000-07-03,brandonhamilton@hotmail.com,001-765-146-6111x50717,6,1,4
41,4947193480101261,1500,True,Amber,Tiffany,2000-01-31,allentimothy@baldwin.com,3983747041,4,3,4
42,180079126775689,1000,True,Rebecca,Crystal,1980-01-04,rmccormick@yahoo.com,(238)137-8451x892,7,3,6
43,4252423699812542,3000,True,Chelsea,Kenneth,1961-11-04,ruizbryan@hotmail.com,983.285.9008,4,3,5
44,4727372138326423,2000,True,Leah,Justin,1963-06-21,sgomez@lopez-leon.com,+1-456-862-0318,4,1,0
45,30435725137832,3000,True,Jessica,James,1962-06-13,lanelarry@wilson.com,530.364.6464,5,1,4
46,3575096069569942,4000,True,Brenda,Jared,1986-10-01,pdouglas@henry-reed.com,227.769.7481,6,5,6
47,373942104259140,5000,False,Jacob,Jessica,1991-07-13,kschmidt@gmail.com,436.940.9196,5,2,3
48,565056971544,1000,False,Alexander,Grace,1996-09-07,arnoldraven@robinson.net,819.181.6733x467,2,4,6
49,341932993228552,2000,True,Mary,Misty,1988-08-04,edonovan@sutton.info,(026)261-4242,1,3,5
50,180037492394287,3000,False,Kevin,Stephanie,1964-01-15,adam45@andrews.net,(492)077-2214x8391,6,2,1
51,30547217160088,2000,False,Gregory,Renee,1965-03-02,elizabeth17@gmail.com,8317690477,0,1,2
52,3531759246298106,2000,False,Luke,Jeremy,1969-07-25,williamnewton@yahoo.com,457-197-0166x73979,0,4,0
53,3571890820328604,1000,False,Christopher,Stephanie,1986-07-25,wigginssarah@yahoo.com,496.201.5021,0,5,3
54,4270466666370539,1500,True,Kathleen,Robert,1961-10-06,schwartzandrew@stevens.com,646.357.6745x83948,2,4,0
55,2281162390476814,1000,True,Kim,Robert,1997-01-23,smithbenjamin@hotmail.com,001-779-397-5029x292,2,1,6
56,4966097587370,1500,False,Ryan,Charles,1963-03-01,astephenson@gill.com,828-167-6013x9691,4,4,4
57,580679429168,1000,False,David,Janet,1966-11-29,salinasmarcus@yahoo.com,611.801.1436,1,3,7
